,Rank,tag,name,badgeId,trophies,memberCount,trophies_normalized,member_count_normalized
160,160,#PQV9RU22,TACOS AL PASTOR,8000039,1211673,30,0.03578330403582064,1.0
161,161,#2RPJ290J0,Pale Machine,8000035,1211667,30,0.03577581851095446,1.0
162,162,#8G2029,Star Hunters⚡️,8000010,1211260,30,0.035268050407524454,1.0
163,163,#8JCCR8P0,familia estelar,8000010,1210164,30,0.03390069453194888,1.0
164,164,#2JRQG20QJ,Dark fun,8000057,1208126,30,0.03135811125236576,1.0
165,165,#29099PJP9,Quack 2.0,8000049,1208047,30,0.03125955184162632,1.0
166,166,#2PJVPQJP0,León,8000018,1207907,30,0.0310848895947462,1.0
167,167,#28P2V89CR,☆Blue Sky☆,8000000,1207775,30,0.030920208047687803,1.0
168,168,#228VRRL0Q,Gabino 2.0,8000029,1206959,30,0.02990217666587225,1.0
169,169,#2R88CC9LG,Shadow Alliance,8000023,1206916,30,0.029848530404330553,1.0
170,170,#2G28J9G8G,FM|BROTHERHOOD,8000023,1205911,30,0.028594704989227004,1.0
171,171,#VJVJRQPJ,<c3>DragonS</c>,8000049,1205347,30,0.027891065651795888,1.0
172,172,#2GLUP0CL,Orión,8000004,1203299,30,0.025336006497435504,1.0
173,173,#2C8CJQGJV,Ghost Souls VI,8000057,1202988,30,0.02494800679186615,1.0
174,174,#2YY2PVLP2,TeamPerú🇵🇪,8000006,1202137,30,0.023886309848330844,1.0
175,175,#YUP90R0R,Panas🤝,8000029,1201149,30,0.022653693420348286,1.0
176,176,#2RQLJJGJQ,MX/AZTECAS,8000023,1200130,30,0.021382401780556837,1.0
177,177,#JQV8G0Y,México Lindo,8000057,1197827,30,0.018509207819379148,1.0
178,178,#VUVUR8Q2,La Mafia PINGU,8000021,1197685,29,0.01833205039754371,0.8000000000000007
179,179,#PQ9PY08,Pinol,8000018,1197294,30,0.017844243693757145,1.0
180,180,#P8G892V,raptor asesino,8000008,1196934,30,0.017395112201779694,1.0
181,181,#2QJC2CRJY,MB|TJMX,8000057,1196677,30,0.01707448222000707,1.0
182,182,#UVYGRUYR,₪L E Y E N D S₪,8000023,1195836,30,0.016025261151248804,1.0
183,183,#2RCVRLYUU,Team Taquitos,8000016,1195778,30,0.015952901077541215,1.0
