tag,name,nameColor,icon,trophies,rank,club,normalized_trophies,normalized_rank
#QR2GC8V,BKB|❄IC£CRØW❄,0xfff9c908,28000348,1105,171,Tribe Turkey,0.006711409395973256,0.8542713567839196
#P0YG02Q8,MG | Abhishek,0xffff9727,28000018,1104,172,IMMORTAL SOULS,0.003355704697986628,0.8592964824120602
#88QCRPLJV,Togi☁️,0xffff8afb,28000303,1104,173,7 Dwarves,0.003355704697986628,0.864321608040201
#209G0UUGY,Ylli🐬,0xffff8afb,28000321,1104,174,Tribe Gaming NA,0.003355704697986628,0.8693467336683417
#J8URCRCJ,vxdka :p,0xffff9727,28000095,1104,175,No Mercy,0.003355704697986628,0.8743718592964824
#YCGG2UQC,♡Larisa.,0xffcb5aff,28000018,1104,176,RoStars Academy,0.003355704697986628,0.8793969849246231
#20CQLYP2C,TBEjason,0xffff8afb,28000336,1104,177,Brawl King's,0.003355704697986628,0.8844221105527638
#8CRC9QUY9,팀원 버스타는Daye🤱,0xfff9c908,28000124,1104,178,<c1>BBOBBY</c>,0.003355704697986628,0.8894472361809045
#2PC29VJP0,feyen✞,0xffffffff,28000000,1104,179,Real Ones,0.003355704697986628,0.8944723618090452
#8VJYGP2R8,+＋爽凛❇︎SOURIN＋+,0xff1ba5f5,28000267,1104,180,Uchronia,0.003355704697986628,0.8994974874371859
#22GQU2LLP,IᴛᴢFɪʀᴇ❤️‍🔥,0xffff9727,28000333,1104,181,CONEXIÓN,0.003355704697986628,0.9045226130653267
#82R8C28JY,MerT☔️,0xff1ba5f5,28000201,1104,182,Serenity🍃,0.003355704697986628,0.9095477386934673
#LLQ8GY8,𝐓𝐡𝐨𝐧𝐲会,0xfff9c908,28000334,1104,183,BC*|Family*,0.003355704697986628,0.914572864321608
#QGG2UUV0,P4S|Kurumi,0xffcb5aff,28000014,1104,184,Real Ones,0.003355704697986628,0.9195979899497487
#CLCPQ2R,Agûstin ᴹᴰᴮ,0xffffffff,28000349,1104,185,Elite Saiyan🔱,0.003355704697986628,0.9246231155778895
